pq,3322
da,3322
work,3319
cd,3317
observing,3297
iot,3285
cwied,3277
came,3269
soldier,3262
ec,3261
national,3261
damages,3251
aegis,3246
clerk,3243
journal,3241
follow,3233
eb,3232
mil,3230
around,3229
kaf,3228
construction,3224
bushmaster,3212
p,3197
ee,3182
identified,3180
sqs,3179
attacked,3177
fc,3173
get,3171
dec,3158
sal,3144
h,3126
rqr,3123
made,3121
training,3115
fe,3112
patient,3108
rtb,3103
very,3097
tb,3095
assessed,3093
away,3085
search,3078
turned,3070
provide,3053
ak,3039
remarks,3017
situation,3010
leader,2998
transfer,2996
g,2990
gun,2986
going,2966
working,2962
charge,2961
cm,2960
release,2955
sharana,2954
end,2952
tfh,2950
oe,2949
injured,2942
hq,2934
met,2931
informed,2907
wc,2900
close,2899
poi,2893
injury,2892
sye,2886
turn,2883
rds,2874
effective,2871
guardian,2871
several,2868
contractor,2859
another,2851
secured,2836
gctf,2835
safe,2828
ye,2814
minor,2809
broke,2807
set,2799
nov,2795
continue,2779
ett,2774
company,2772
need,2753
longer,2751
so,2743
source,2741
eng,2726
four,2725
established,2714
controlled,2706
upon,2695
blessing,2693
prov,2676
cordoned,2674
sep,2670
gbu,2653
director,2651
bn,2649
building,2640
hospital,2634
thunder,2633
right,2631
city,2620
meters,2618
known,2618
plt,2615
phoenix,2613
directed,2609
blast,2608
follows,2607
en,2602
vb,2595
delayed,2591
inside,2585
because,2583
same,2567
cdo,2566
return,2557
impacted,2550
outside,2539
individuals,2537
black,2536
civilian,2522
rcag,2515
cied,2512
lbs,2512
later,2509
cca,2507
reporting,2502
asked,2498
land,2478
move,2476
ft,2473
future,2465
chosin,2463
status,2448
khan,2448
against,2448
investigate,2448
however,2445
high,2440
positions,2434
stopped,2432
paktika,2428
khost,2428
vc,2421
front,2418
hand,2413
open,2408
jan,2406
counter,2405
plastic,2405
total,2404
before,2398
provided,2393
recovery,2392
exploit,2389
unable,2389
daily,2389
manning,2385
obs,2384
discussed,2382
